Name,Price,Change
EUR/USD,1.0814,+0.0000
USD/JPY,138.5190,+0.7289
GBP/USD,1.2429,-0.0000
EUR/GBP,0.8701,+0.0000
USD/CHF,0.8979,-0.0000
EUR/JPY,149.7940,+0.9733
EUR/CHF,0.9710,-0.0000
USD/CAD,1.3504,+0.0000
AUD/USD,0.6650,+0.0000
GBP/JPY,172.1660,+0.7337
AUD/CAD,0.8981,+0.0000
AUD/CHF,0.5971,-0.0000
AUD/JPY,92.1200,+0.3707
AUD/NZD,1.0584,-0.0000
CAD/CHF,0.6649,-0.0000
CAD/JPY,102.5780,+0.3873
CHF/JPY,154.2760,+1.2092
EUR/AUD,1.6261,+0.0000
EUR/CAD,1.4603,+0.0000
EUR/NOK,11.7849,+0.0035
EUR/NZD,1.7210,-0.0001
GBP/CAD,1.6784,-0.0000
GBP/CHF,1.1160,-0.0000
NZD/JPY,87.0400,+0.4520
NZD/USD,0.6284,+0.0000
USD/NOK,10.8977,+0.0023
USD/SEK,10.5614,+0.0042
EU50/EUR,"4,388.0000",-4.3924
USD/INR,83.2840,+0.0583
AUD/HKD,5.2061,+0.0005
US30/USD,"33,325.6000","+3,570.6000"
UK10YB/GBP,98.5250,-0.4066
NZD/CHF,0.5642,+0.0000
HK33/HKD,"19,749.4000","+14,652.7806"
GBP/SGD,1.6729,-0.0000
XAU/AUD,"2,969.5280",-290.0002
SG30/SGD,293.3900,+2.0684
XAU/NZD,"3,142.8490",-571.7074
SGD/JPY,102.9160,+0.3630
NZD/CAD,0.8485,+0.0000
DE10YB/EUR,134.2200,-0.2461
SGD/HKD,5.9008,-0.0012
SOYBN/USD,13.5890,+0.0463
XAG/AUD,35.5954,-0.1056
USB30Y/USD,126.6000,-0.6234
XPT/USD,"1,074.6420",+69.0914
XAU/JPY,"273,550.0000","+230,940.9657"
XAU/GBP,"1,588.8980",-24.3438
CORN/USD,5.8680,+0.0089
EUR/TRY,21.4473,+0.0131
XAU/EUR,"1,826.1490",-106.9589
XAG/CHF,21.2550,-0.0414
NL25/EUR,768.8450,-2.2129
NZD/SGD,0.8458,+0.0000
GBP/PLN,5.1735,-0.0027
EUR/SGD,1.4555,+0.0000
WTICO/USD,72.3000,+0.3282
XAU/SGD,"2,658.0360",-166.8370
AUD/SGD,0.8951,+0.0000
TRY/JPY,6.9840,+0.0010
XAU/USD,"1,974.8250",-62.0220
EUR/CZK,23.7088,-0.0120
XAU/HKD,"15,459.6500","-4,724.2417"
TWIX/USD,618.5000,-10.0569
NAS100/USD,"13,871.4000","+7,389.4374"
USD/ZAR,19.2310,-0.0385
CHF/HKD,8.7186,+0.0024
CAD/HKD,5.7969,+0.0004
EUR/HUF,374.1300,-6.8345
AU200/AUD,"7,277.5000",+779.7321
XAG/USD,23.6720,-0.0401
USD/SAR,3.7502,+0.0000
USD/TRY,19.8326,+0.0090
EUR/DKK,7.4475,-0.0001
EUR/PLN,4.5013,-0.0017
EUR/HKD,8.4657,+0.0012
FR40/EUR,"7,484.5000",+396.9053
CN50/USD,"13,097.6000","+7,250.4571"
XAG/EUR,21.8898,-0.0400
XAU/CHF,"1,773.1860",-130.6406
USD/THB,34.4520,+0.0182
USB05Y/USD,108.4940,-0.1782
USD/HUF,345.9670,-6.2985
NATGAS/USD,2.3540,-0.0038
XPD/USD,"1,487.9860",-501.0342
UK100/GBP,"7,785.3000",+834.1393
GBP/AUD,1.8689,-0.0001
XAG/CAD,31.9674,-0.0826
SGD/CHF,0.6671,-0.0000
IN50/USD,"15,721.2000",+0.0000
GBP/NZD,1.9780,-0.0001
BCO/USD,76.3490,+0.3753
JP225/USD,"31,182.5000","+25,589.2265"
XAG/SGD,31.8615,-0.0763
ZAR/JPY,7.2040,+0.0072
WHEAT/USD,5.9750,-0.0003
DE30/EUR,"16,229.6000","-22,320.5188"
USD/PLN,4.1624,-0.0015
USD/MXN,17.8874,+0.0249
XAG/HKD,185.3131,-2.3730
HKD/JPY,17.6948,+0.0078
CHF/ZAR,21.4180,-0.0383
CAD/SGD,0.9967,+0.0000
USD/CZK,21.9232,-0.0143
XCU/USD,3.6719,-0.0016
USD/DKK,6.8868,-0.0003
US2000/USD,"1,799.3500",+449.5507
GBP/HKD,9.7297,-0.0002
SUGAR/USD,0.2646,+0.0000
USB10Y/USD,113.3840,-0.2079
XAG/JPY,"3,279.0000",-401.1347
XAG/GBP,19.0462,-0.0227
EUR/SEK,11.4211,+0.0056
USD/SGD,1.3460,+0.0000
SPX500/USD,"4,202.8000",+837.8681
XAU/XAG,83.4250,+0.3655
USD/HKD,7.8284,+0.0007
EUR/ZAR,20.7968,-0.0424
USB02Y/USD,102.4610,-0.1190
XAG/NZD,37.6733,-0.1455
XAU/CAD,"2,666.8630",-213.9275
NZD/HKD,4.9188,+0.0009
USD/CNH,7.0476,+0.0013
GBP/ZAR,23.9018,-0.0673
