No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
1,MBOT,Microbot Medical Inc.,230.89%,4.07,"167,545,917",32.97M
2,GHL,"Greenhill & Co., Inc.",116.74%,14.70,"2,881,775",269.23M
3,HEPA,"Hepion Pharmaceuticals, Inc.",79.18%,15.90,"13,846,214",60.87M
4,AVIR,"Atea Pharmaceuticals, Inc.",38.65%,5.13,"6,105,896",429.52M
5,VECT,VectivBio Holding AG,36.34%,16.23,"19,960,002",1.09B
6,CRCT,"Cricut, Inc.",31.99%,9.49,"727,985",2.08B
7,BIOR,"Biora Therapeutics, Inc.",31.89%,4.88,"1,295,735",58.35M
8,ABSI,Absci Corporation,30.94%,1.82,"1,973,624",169.26M
9,ARVL,Arrival,30.31%,3.31,"1,337,982",50.61M
10,MPLN,MultiPlan Corporation,29.21%,1.31,"2,170,244",856.69M
11,RXRX,"Recursion Pharmaceuticals, Inc.",27.45%,8.20,"13,684,616",1.58B
12,AKBA,"Akebia Therapeutics, Inc.",27.16%,1.48,"7,027,485",275.17M
13,RXT,"Rackspace Technology, Inc.",26.99%,1.44,"3,835,689",307.56M
14,UPST,"Upstart Holdings, Inc.",25.51%,28.93,"20,048,011",2.39B
15,DMAC,DiaMedica Therapeutics Inc.,24.89%,2.81,"240,304",73.30M
16,EXAI,Exscientia plc,24.34%,7.51,"1,265,535",925.68M
17,IONQ,"IonQ, Inc.",24.32%,11.04,"22,394,464",2.22B
18,ELTK,Eltek Ltd.,24.31%,7.67,"247,405",44.34M
19,KRYS,"Krystal Biotech, Inc.",23.65%,118.78,"1,062,911",3.07B
20,AMTX,"Aemetis, Inc.",22.52%,3.95,"3,046,122",144.74M
